school_name,physical_sports,visual_and_performing_arts,uniformed_groups,clubs_and_societies,others,alp_domain,llp_domain,alp_title,llp_title
ADMIRALTY PRIMARY SCHOOL,"['WUSHU', 'TRACK AND FIELD', 'ROPE SKIPPING', 'MODULAR CCA (SPORTS)', 'FOOTBALL']","['MALAY DANCE', 'INDIAN DANCE', 'GUITAR ENSEMBLE', 'CHOIR', 'CHINESE DANCE', 'GUZHENG ENSEMBLE']","['SCOUTS', 'GIRL GUIDES (BROWNIES)']","['ART AND CRAFTS', 'INFOCOMM TECHNOLOGY (COMPUTING)', 'PHOTOGRAPHY', 'ENGLISH LANGUAGE, DRAMA AND DEBATING', 'DESIGN AND INNOVATION']",[],STEM - Sustainability,Community Service & Student Leadership,Design Thinking for Sustainability (DTS @ Admiralty),High Performance Mind-set for Personal Leadership
AHMAD IBRAHIM PRIMARY SCHOOL,"['ROPE SKIPPING', 'BASKETBALL', 'BADMINTON', 'FOOTBALL']","['MALAY DANCE', 'INDIAN DANCE', 'CHOIR', 'CHINESE DANCE']",['SCOUTS'],"['ROBOTICS', 'PHOTOGRAPHY', 'ART AND CRAFTS']",['STUDENT LEADERSHIP (PREFECT)'],STEM - Sustainability,Community Service & Student Leadership,Sustainability Education � Nurturing Students to be Stewards of Our Environment,The 3Rs � Leader U Development programme- From Values to Action: Developing Community-based Student Leaders
AI TONG SCHOOL,"['MODULAR CCA (SPORTS)', 'VOLLEYBALL', 'TRACK AND FIELD', 'TABLE TENNIS', 'WUSHU', 'BADMINTON']","['PERCUSSION ENSEMBLE', 'CHINESE DANCE', 'GUZHENG ENSEMBLE', 'ENGLISH DRAMA', 'CHOIR']","['SCOUTS', 'GIRL GUIDES (BROWNIES)']","['ROBOTICS', 'INFOCOMM TECHNOLOGY (COMPUTING)', 'ART AND CRAFTS', 'ENVIRONMENTAL SCIENCE']",[],Innovation & Enterprise,Sports & Outdoor Education,iDARE @ ATS,L.E.A.D.: Character and Leadership Development through Outdoor Education Programme
ALEXANDRA PRIMARY SCHOOL,"['TRACK AND FIELD', 'SWIMMING', 'SOFTBALL', 'RUGBY', 'TABLE TENNIS', 'BASKETBALL', 'BADMINTON']","['MODERN DANCE', 'ENGLISH DRAMA', 'CHOIR', 'CHINESE DRUMS', 'GUITAR ENSEMBLE']",['SCOUTS'],"['INFOCOMM TECHNOLOGY (COMPUTING)', 'INTERNATIONAL CHESS', 'ENVIRONMENTAL SCIENCE', 'CHINESE CULTURE AND LANGUAGE', 'CHEERLEADING', 'ART AND CRAFTS']",[],STEM - Material Science,Community Service & Student Leadership,"Science, Design Technology & Design Thinking at ALPS (SDT2@ALPS)",Cultural Intelligence (CQ) ? The Code of Life
ANCHOR GREEN PRIMARY SCHOOL,"['WUSHU', 'NETBALL', 'FLOORBALL', 'BASKETBALL']","['MODERN DANCE', 'ENGLISH DRAMA', 'CHOIR', 'CHINESE DRUMS', 'GUZHENG ENSEMBLE']",['SCOUTS'],"['ROBOTICS', 'INTERNATIONAL CHESS', 'INFOCOMM TECHNOLOGY (MEDIA PRODUCTION)', 'ENVIRONMENTAL SCIENCE']",[],Interdisciplinary,Music & Performing Arts,Empowering Learners to be Environmental Activists (ELEA),"A.G.P.S Arts (Aspire, Grow, Passion and Serve through the Arts)"
ANDERSON PRIMARY SCHOOL,"['VOLLEYBALL', 'BASKETBALL', 'BADMINTON', 'FOOTBALL']","['GUZHENG ENSEMBLE', 'INDIAN DANCE', 'MALAY DANCE', 'TAP DANCE', 'GUITAR ENSEMBLE', 'MODERN DANCE', 'ENGLISH DRAMA', 'CULTURAL DANCE', 'CHINESE DANCE', 'BRASS BAND', 'ANGKLUNG/KULINTANG ENSEMBLE']","[""GIRLS' BRIGADE"", ""BOYS' BRIGADE""]","['LION AND DRAGON DANCE', 'ROBOTICS', 'ENVIRONMENTAL SCIENCE', 'ART AND CRAFTS']",[],STEM - Material Science,Music & Performing Arts,Eureka!,VIVACE! - Values Inculcation Via Arts and Creative Experiences
ANG MO KIO PRIMARY SCHOOL,"['TRACK AND FIELD', 'TABLE TENNIS', 'OUTDOOR ADVENTURE', 'FOOTBALL', 'BASKETBALL', 'BADMINTON']","['BRASS BAND', 'ENGLISH DRAMA', 'CHOIR', 'MODERN DANCE']","['SCOUTS', 'RED CROSS YOUTH']","['PROJECT CABIN', 'ROBOTICS', 'INFOCOMM TECHNOLOGY (COMPUTING)', 'ART AND CRAFTS']",['STUDENT LEADERSHIP (PREFECT)'],Languages,Community Service & Student Leadership,"POISE@AMKP � Programme to develop Outstanding, Inspired and SEnsitive communicators at Ang Mo Kio Primary School",Nurturing the Confident AMKPian
ANGLO-CHINESE SCHOOL (JUNIOR),"['SAILING', 'MODULAR CCA (SPORTS)', 'OUTDOOR ADVENTURE', 'ROCKWALL CLIMBING', 'ROCKWALL CLIMBING (CA020)', 'RUGBY', 'WATER POLO', 'SOFTBALL', 'SQUASH', 'SWIMMING', 'TABLE TENNIS', 'TRACK AND FIELD', 'WUSHU', 'KARATE', 'TAEKWONDO', 'HOCKEY', 'TENNIS', 'ARCHERY', 'ARTISTIC GYMNASTICS', 'ARTISTIC SWIMMING', 'BADMINTON', 'BASKETBALL', 'BOWLING', 'CRICKET', 'FENCING', 'FOOTBALL', 'GOLF', 'HEALTH AND FITNESS']","['STRING ENSEMBLE', 'MODERN DANCE', 'SINGAPORE NATIONAL YOUTH ORCHESTRA', 'CHOIR', 'CONCERT BAND']","['SCOUTS', ""BOYS' BRIGADE""]","['PHYSICAL SCIENCE', 'ART AND CRAFTS', 'INTERNATIONAL CHESS', 'FAITH-BASED CCA', 'CHINESE CULTURE AND LANGUAGE']",[],Interdisciplinary,Sports & Outdoor Education,Creative Thinkers,"All for Sports, Sports for All @ ACS(Junior)"
ANGLO-CHINESE SCHOOL (PRIMARY),"['RUGBY', 'SAILING', 'SWIMMING', 'TOUCH RUGBY', 'TAEKWONDO', 'TENNIS', 'TRACK AND FIELD', 'WUSHU', 'TABLE TENNIS', 'GOLF', 'ARTISTIC GYMNASTICS', 'ARTISTIC SWIMMING', 'BADMINTON', 'BASKETBALL', 'FENCING', 'FLOORBALL', 'FOOTBALL', 'BOWLING']","['MODERN DANCE', 'CHOIR']","['SCOUTS', ""BOYS' BRIGADE""]","['PHYSICAL SCIENCE', 'ROBOTICS', 'INTERNATIONAL CHESS', 'ART AND CRAFTS', 'INFOCOMM TECHNOLOGY (COMPUTING)', 'AUDIO VISUAL AID', 'DEBATING AND PUBLIC SPEAKING']",[],Languages,Sports & Outdoor Education,"Dream it, Do it",Building Character Through Sports
ANGSANA PRIMARY SCHOOL,"['WUSHU', 'NETBALL', 'FLOORBALL', 'BADMINTON', 'FOOTBALL']","['MODERN DANCE', 'ENGLISH DRAMA', 'CONCERT BAND', 'CHOIR']","['SCOUTS', 'RED CROSS YOUTH']","['INFOCOMM TECHNOLOGY (MEDIA PRODUCTION)', 'PHYSICAL SCIENCE', 'ART AND CRAFTS']",['STUDENT LEADERSHIP (PREFECT)'],STEM - Sustainability,Community Service & Student Leadership,Nurturing Problem Solvers through Computational Thinking,Nurturing and Developing 21st Century Leaders through Enrichment and Lifeskills (ENL) Programmes
BEACON PRIMARY SCHOOL,"['WUSHU', 'TCHOUKBALL', 'FOOTBALL', 'BASKETBALL', 'NETBALL']","['UKULELE ENSEMBLE', 'PERCUSSION ENSEMBLE', 'CHOIR', 'MODERN DANCE']",['SCOUTS'],"['ROBOTICS', 'ENVIRONMENTAL SCIENCE', 'DESIGN AND INNOVATION', 'ART AND CRAFTS']",['STUDENT LEADERSHIP (PREFECT)'],STEM - Sustainability,Community Service & Student Leadership,Beacon Environmental Stewardship,BEACON FUTURE READY PROGRAMME (BFRP) - Beacon At Your Service (BAYS)
BEDOK GREEN PRIMARY SCHOOL,"['RUGBY', 'FOOTBALL', 'BASKETBALL', 'BADMINTON']","['MALAY DANCE', 'GUZHENG ENSEMBLE', 'CHOIR', 'CHINESE DANCE', 'ANGKLUNG/KULINTANG ENSEMBLE', 'ENGLISH DRAMA']","['SCOUTS', 'GIRL GUIDES (BROWNIES)']","['INFOCOMM TECHNOLOGY (MEDIA PRODUCTION)', 'ART AND CRAFTS']",[],Interdisciplinary,Sports & Outdoor Education,Environmental Education (E2@BGPS),Sports and Aesthetics To Reinforce Values Education (STRIVE @ BGPS)
BENDEMEER PRIMARY SCHOOL,"['TRACK AND FIELD', 'MODULAR CCA (SPORTS)', 'WUSHU', 'SEPAKTAKRAW', 'ROPE SKIPPING', 'FLOORBALL']","['MALAY DANCE', 'SINGAPORE NATIONAL YOUTH ORCHESTRA', 'CONCERT BAND', 'CHINESE DANCE', 'INDIAN DANCE']",[],"['ENVIRONMENTAL SCIENCE', 'ART AND CRAFTS']",[],STEM - Sustainability,Music & Performing Arts,E2SL@BPS (Environment Education in Sustainable Living),Bendemeer�s TEMPO (Towards Enhancement of Music and Performing Arts Opportunities)
BLANGAH RISE PRIMARY SCHOOL,"['BASKETBALL', 'BADMINTON', 'FOOTBALL']","['MODERN DANCE', 'CHOIR']","['SCOUTS', 'RED CROSS YOUTH']","['PHYSICAL SCIENCE', 'INFOCOMM TECHNOLOGY (MEDIA PRODUCTION)', 'ART AND CRAFTS']",[],STEM - Material Science,Community Service & Student Leadership,Aspiring Confident Engineers (ACE)@BRPS,Leader for Life
BOON LAY GARDEN PRIMARY SCHOOL,"['WUSHU', 'TRACK AND FIELD', 'TAEKWONDO', 'NETBALL', 'FLOORBALL', 'BOWLING']","['INDIAN DANCE', 'MALAY DANCE', 'CHOIR', 'CHINESE DANCE']","['SCOUTS', 'RED CROSS YOUTH']","['DESIGN AND INNOVATION', 'AUDIO VISUAL AID', 'ART AND CRAFTS', 'ENVIRONMENTAL SCIENCE']",[],Interdisciplinary,Community Service & Student Leadership,Thinking curriculum through Habits of Mind @ BLGPS - Developing Self-directed Learners,Empowering the next generation of Eco Stewards through Environment Education
