school_name,Phase 1,Phase 2A-1,Phase 2A-2,Phase 2A-3,Phase 2A-4,Phase 2A-5,Phase 2A-6,Phase 2B-1,Phase 2B-2,Phase 2B-3,Phase 2B-4,Phase 2B-5,Phase 2B-6,Phase 2C-1,Phase 2C-2,Phase 2C-3,Phase 2C-4,Phase 2C-5,Phase 2C-6,Phase 2CS-1,Phase 2CS-2,Phase 2CS-3,Phase 2CS-4,Phase 2CS-5,Phase 2CS-6,Phase 3
ADMIRALTY PRIMARY SCHOOL,100,100,100,100,100,100,100,100,92,50,49,33,33,67,0,0,0,0,0,0,0,0,0,0,0,?
AHMAD IBRAHIM PRIMARY SCHOOL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,?
AI TONG SCHOOL,100,100,100,59,17,17,17,39,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,?
ALEXANDRA PRIMARY SCHOOL,100,100,100,100,100,100,100,100,100,100,100,100,100,98,58,15,0,0,0,0,0,0,0,0,0,?
ANCHOR GREEN PRIMARY SCHOOL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,?
ANDERSON PRIMARY SCHOOL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,82,33,20,0,0,0,0,0,0,0,0,?
ANG MO KIO PRIMARY SCHOOL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,?
ANGLO-CHINESE SCHOOL (JUNIOR),100,100,100,100,100,100,100,63,0,0,0,0,0,87,35,13,0,0,0,0,0,0,0,0,0,?
ANGLO-CHINESE SCHOOL (PRIMARY),100,100,100,100,100,100,100,77,0,0,0,0,0,91,33,24,0,0,0,0,0,0,0,0,0,?
ANGSANA PRIMARY SCHOOL,100,78,17,17,17,17,17,100,100,100,100,100,100,41,0,0,0,0,0,0,0,0,0,0,0,?
BEACON PRIMARY SCHOOL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,?
BEDOK GREEN PRIMARY SCHOOL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,?
BENDEMEER PRIMARY SCHOOL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,?
BLANGAH RISE PRIMARY SCHOOL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,?
BOON LAY GARDEN PRIMARY SCHOOL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,?
BUKIT PANJANG PRIMARY SCHOOL,100,100,100,100,100,100,100,100,98,83,83,83,83,75,9,0,0,0,0,0,0,0,0,0,0,?
BUKIT TIMAH PRIMARY SCHOOL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,33,33,33,33,?
BUKIT VIEW PRIMARY SCHOOL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,78,49,49,49,?
CANBERRA PRIMARY SCHOOL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,87,33,33,33,?
